ID,name,Type
1,Advances in Intelligent Systems and Computing,Conference Paper
2,Lecture Notes in Electrical Engineering,Conference Paper
5,Telematics and Informatics,Conference Paper
6,Electric Power Systems Research,Conference Paper
7,Optical Fiber Technology,Conference Paper
8,Computers and Graphics (Pergamon),Conference Paper
10,Nanotechnology,Conference Paper
13,IEEE Robotics and Automation Letters,Conference Paper
14,Computer Methods in Applied Mechanics and Engineering,Conference Paper
15,IEEE Vehicular Technology Magazine,Conference Paper
17,Production and Operations Management,Conference Paper
18,Applied Thermal Engineering,Conference Paper
19,JOM,Conference Paper
20,Midwest Symposium on Circuits and Systems,Conference Paper
21,"Proceedings - 2020 IEEE 21st International Conference on Information Reuse and Integration for Data Science, IRI 2020",Conference Paper
22,Scripta Materialia,Conference Paper
23,IEEE Transactions on Aerospace and Electronic Systems,Conference Paper
26,Quality Engineering,Conference Paper
31,Mechanism and Machine Theory,Conference Paper
32,Proceedings of the American Control Conference,Conference Paper
33,IEEE Transactions on Nuclear Science,Conference Paper
34,"IET Generation, Transmission and Distribution",Conference Paper
35,Quality and Reliability Engineering International,Conference Paper
38,Materials Science and Engineering A,Conference Paper
39,Footwear Science,Conference Paper
40,Advanced Materials Interfaces,Conference Paper
41,Conference Proceedings - Lasers and Electro-Optics Society Annual Meeting-LEOS,Conference Paper
43,Additive Manufacturing,Conference Paper
44,Nano Research,Conference Paper
45,"Proceedings - 2020 IEEE 34th International Parallel and Distributed Processing Symposium Workshops, IPDPSW 2020",Conference Paper
47,Electronics (Switzerland),Conference Paper
48,Energies,Conference Paper
49,ACS Applied Bio Materials,Conference Paper
50,SAE Technical Papers,Conference Paper
51,IEEE International Reliability Physics Symposium Proceedings,Conference Paper
52,Micromachines,Conference Paper
53,IEEE Antennas and Propagation Magazine,Conference Paper
54,Physical Review Fluids,Conference Paper
56,ACS Applied Energy Materials,Conference Paper
57,Drones,Conference Paper
58,Applied Energy,Conference Paper
59,Proceedings of the Custom Integrated Circuits Conference,Conference Paper
61,"Sensors and Actuators, A: Physical",Conference Paper
63,Computational Materials Science,Conference Paper
68,Microporous and Mesoporous Materials,Conference Paper
69,ISA Transactions,Conference Paper
71,Nature Biotechnology,Conference Paper
72,Electronics Letters,Conference Paper
75,AIAA Scitech 2020 Forum,Conference Paper
76,Mechanisms and Machine Science,Conference Paper
78,Computing in Science and Engineering,Conference Paper
79,Proceedings - Annual Reliability and Maintainability Symposium,Conference Paper
80,Computer-Aided Design and Applications,Conference Paper
81,NDT and E International,Conference Paper
83,Transportation Research Record,Conference Paper
86,Fluids,Conference Paper
87,IEEE Antennas and Wireless Propagation Letters,Conference Paper
89,IEEE Access,Conference Paper
90,Applied Mechanics Reviews,Conference Paper
92,Conference Proceedings of the Society for Experimental Mechanics Series,Conference Paper
93,IEEE Transactions on Circuits and Systems I: Regular Papers,Conference Paper
94,Proceedings of SPIE - The International Society for Optical Engineering,Conference Paper
95,Geotechnical Special Publication,Conference Paper
97,IEEE Aerospace and Electronic Systems Magazine,Conference Paper
98,Archive for Rational Mechanics and Analysis,Conference Paper
99,Synthetic and Systems Biotechnology,Conference Paper
101,"Proceedings - 18th IEEE International Conference on Machine Learning and Applications, ICMLA 2019",Conference Paper
102,"2019 IEEE Global Communications Conference, GLOBECOM 2019 - Proceedings",Conference Paper
103,npj Computational Materials,Conference Paper
104,"DATA 2019 - Proceedings of the 2nd ACM Workshop on Data Acquisition To Analysis, Part of SenSys 2019",Conference Paper
105,IEEE Transactions on Antennas and Propagation,Conference Paper
106,Indoor Air,Conference Paper
107,Proceedings - IEEE Military Communications Conference MILCOM,Conference Paper
108,IEEE Security and Privacy,Conference Paper
109,IEEE Transactions on Automatic Control,Conference Paper
110,Signal Processing: Image Communication,Conference Paper
111,Smart Materials and Structures,Conference Paper
113,"Conference Proceedings - IEEE International Conference on Systems, Man and Cybernetics",Conference Paper
114,"Proceedings of the 19th Conference on Formal Methods in Computer-Aided Design, FMCAD 2019",Conference Paper
116,"51st North American Power Symposium, NAPS 2019",Conference Paper
117,Soil Dynamics and Earthquake Engineering,Conference Paper
118,Flexible and Printed Electronics,Conference Paper
119,"ACM-BCB 2019 - Proceedings of the 10th ACM International Conference on Bioinformatics, Computational Biology and Health Informatics",Conference Paper
120,"International Conference on Infrared, Millimeter, and Terahertz Waves, IRMMW-THz",Conference Paper
121,Optical Engineering,Conference Paper
122,"2019 IEEE Photonics Conference, IPC 2019 - Proceedings",Conference Paper
124,IEEE Solid-State Circuits Letters,Conference Paper
125,"IEEE International Conference on Emerging Technologies and Factory Automation, ETFA",Conference Paper
127,Applied Optics,Conference Paper
128,"Sensors and Actuators, B: Chemical",Conference Paper
129,IEEE Transactions on Information Forensics and Security,Conference Paper
130,Materials and Design,Conference Paper
131,Composite Structures,Conference Paper
132,Research in Engineering Design,Conference Paper
133,IEEE Radiation Effects Data Workshop,Conference Paper
134,"Proceedings - 2019 IEEE Space Computing Conference, SCC 2019",Conference Paper
135,IEEE International Professional Communication Conference,Conference Paper
137,Materials Characterization,Conference Paper
138,IEEE Transactions on Geoscience and Remote Sensing,Conference Paper
140,OSA Continuum,Conference Paper
141,Metallurgical and Materials Transactions A: Physical Metallurgy and Materials Science,Conference Paper
142,"ASEE Annual Conference and Exposition, Conference Proceedings",Conference Paper
143,Sensors (Switzerland),Conference Paper
144,Mechanical Engineering,Conference Paper
146,"2019 International Conference on Unmanned Aircraft Systems, ICUAS 2019",Conference Paper
147,"Proceedings - 4th IEEE European Symposium on Security and Privacy Workshops, EUROS and PW 2019",Conference Paper
148,IEEE Transactions on Professional Communication,Conference Paper
149,Optimization and Engineering,Conference Paper
150,"2019 IEEE Milan PowerTech, PowerTech 2019",Conference Paper
152,"IEEE Transactions on Components, Packaging and Manufacturing Technology",Conference Paper
153,Composites Part A: Applied Science and Manufacturing,Conference Paper
155,IEEE International Conference on Communications,Conference Paper
156,Design Studies,Conference Paper
157,"2019 Conference on Lasers and Electro-Optics, CLEO 2019 - Proceedings",Conference Paper
158,Osteoarthritis and Cartilage,Conference Paper
159,Multimedia Tools and Applications,Conference Paper
160,Precision Engineering,Conference Paper
161,Magnetic Resonance Imaging,Conference Paper
162,Analytical Methods,Conference Paper
164,ACM Transactions on Privacy and Security,Conference Paper
168,IEEE Vehicular Technology Conference,Conference Paper
169,Construction and Building Materials,Conference Paper
170,"Proceedings of 11th International Conference on Bioinformatics and Computational Biology, BiCOB 2019",Conference Paper
173,Nano Energy,Conference Paper
174,Nano Futures,Conference Paper
175,FPGA 2019 - Proceedings of the 2019 ACM/SIGDA International Symposium on Field-Programmable Gate Arrays,Conference Paper
177,IEEE/ASME Transactions on Mechatronics,Conference Paper
178,Automatica,Conference Paper
179,"Proceedings of the 2019 Research on Equity and Sustained Participation in Engineering, Computing, and Technology, RESPECT 2019",Conference Paper
181,IEEE Transactions on Circuits and Systems II: Express Briefs,Conference Paper
182,Proceedings of the IEEE Conference on Decision and Control,Conference Paper
183,"Proceedings - 17th IEEE International Conference on Machine Learning and Applications, ICMLA 2018",Conference Paper
184,Applied Sciences (Switzerland),Conference Paper
185,Mechanical Sciences,Conference Paper
186,"2018 North American Power Symposium, NAPS 2018",Conference Paper
187,Product Development: Principles and Tools for Creating Desirable and Transferable Designs,Conference Paper
188,AIAA Scitech 2019 Forum,Conference Paper
189,"ASME International Mechanical Engineering Congress and Exposition, Proceedings (IMECE)",Conference Paper
191,"Proceedings of the 21st International Conference on Engineering and Product Design Education: Towards a New Innovation Landscape, E and PDE 2019",Conference Paper
192,Optics InfoBase Conference Papers,Conference Paper
193,"Proceedings of the International Conference on Engineering Design, ICED",Conference Paper
194,"Proceedings of the International Joint Conference on Autonomous Agents and Multiagent Systems, AAMAS",Conference Paper
195,"American Society of Mechanical Engineers, Power Division (Publication) POWER",Conference Paper
196,"Proceedings of the 15th Symposium on Usable Privacy and Security, SOUPS 2019",Conference Paper
197,"Proceedings of the 13th Symposium on Usable Privacy and Security, SOUPS 2017",Conference Paper
198,International Conference on Transportation and Development 2019: Smarter and Safer Mobility and Cities - Selected Papers from the International Conference on Transportation and Development 2019,Conference Paper
199,"Proceedings of the 14th Symposium on Usable Privacy and Security, SOUPS 2018",Conference Paper
200,Medical Engineering and Physics,Conference Paper
201,Proceedings of the International Telemetering Conference,Conference Paper
202,CAMX 2019 - Composites and Advanced Materials Expo,Conference Paper
203,Proceedings of the ASME Design Engineering Technical Conference,Conference Paper
204,"Minerals, Metals and Materials Series",Conference Paper
206,Proceedings of the Combustion Institute,Conference Paper
207,Biomicrofluidics,Conference Paper
208,Proceedings of the ASME Turbo Expo,Conference Paper
209,IFAC-PapersOnLine,Conference Paper
210,RILEM Bookseries,Conference Paper
211,IEEE Transactions on Control Systems Technology,Conference Paper
212,"11th International Symposium on Turbulence and Shear Flow Phenomena, TSFP 2019",Conference Paper
213,"SEFI 47th Annual Conference: Varietas Delectat... Complexity is the New Normality, Proceedings",Conference Paper
215,SOUPS 2016 - 12th Symposium on Usable Privacy and Security,Conference Paper
216,Advances in Heat Transfer,Conference Paper
217,"Computing and Systems Technology Division 2019, Held at the 2019 AIChE Spring Meeting and 15th Global Congress on Process Safety",Conference Paper
218,Frontiers in Heat and Mass Transfer,Conference Paper
219,Design Science,Conference Paper
221,Nanoscale Advances,Conference Paper
222,"27th Annual Conference of the International Group for Lean Construction, IGLC 2019",Conference Paper
223,"ASME 2019 Dynamic Systems and Control Conference, DSCC 2019",Conference Paper
224,"25th AIAA/CEAS Aeroacoustics Conference, 2019",Conference Paper
227,IEEE Transactions on Power Systems,Conference Paper
228,Cartilage,Conference Paper
229,Science Robotics,Conference Paper
232,Masonry International,Conference Paper
233,Mechanics Based Design of Structures and Machines,Conference Paper
234,Proceedings of the International ISCRAM Conference,Conference Paper
236,Frontiers in Marine Science,Conference Paper
237,Proceedings of the International Symposium on Radiative Transfer,Conference Paper
238,"SPE/IADC Drilling Conference, Proceedings",Conference Paper
239,Advances in Space Research,Conference Paper
240,IEEE Power and Energy Society General Meeting,Conference Paper
241,"2018 IEEE Nuclear and Space Radiation Effects Conference, NSREC 2018",Conference Paper
242,"Proceedings - 2018 IEEE PES Innovative Smart Grid Technologies Conference Europe, ISGT-Europe 2018",Conference Paper
243,Lab on a Chip,Conference Paper
245,Tissue Engineering - Part B: Reviews,Conference Paper
247,Theoretical and Computational Fluid Dynamics,Conference Paper
248,Experimental Thermal and Fluid Science,Conference Paper
249,Finite Fields and their Applications,Conference Paper
252,"Proceedings - 2018 International Conference on High Performance Computing and Simulation, HPCS 2018",Conference Paper
253,"2018 IEEE 3rd International Verification and Security Workshop, IVSW 2018",Conference Paper
255,Engineering Structures,Conference Paper
256,Biosensors and Bioelectronics,Conference Paper
257,Proceedings of the International Symposium on Wireless Communication Systems,Conference Paper
259,Current Opinion in Biotechnology,Conference Paper
261,Applied Nanoscience (Switzerland),Conference Paper
262,Biomedical Materials (Bristol),Conference Paper
264,Diamond and Related Materials,Conference Paper
265,Biomimetics,Conference Paper
266,"2018 International Conference on Unmanned Aircraft Systems, ICUAS 2018",Conference Paper
